name,id,status,group,start_date,end_date
Tucson,az01,active,5,1/1/21,
Yuma Valley,az02,active,2,1/1/21,
Safford,az04,active,6,1/1/21,
Coolidge,az05,active,5,1/1/21,
Maricopa,az06,active,5,1/1/21,
Aguila,az07,active,3,1/1/21,
Parker,az08,active,1,1/1/21,
Bonita,az09,active,6,1/1/21,
Phoenix Greenway,az12,active,4,1/1/21,
Yuma N.Gila,az14,active,2,1/1/21,
Phoenix Encanto,az15,active,4,1/1/21,
Paloma,az19,active,3,1/1/21,
Mohave,az20,active,1,1/1/21,
Queen Creek,az22,active,5,1/1/21,
Harquahala,az23,active,3,1/1/21,
Roll,az24,active,2,1/1/21,
Buckeye,az26,active,3,1/1/21,
Desert Ridge,az27,active,4,1/1/21,
Mohave-2,az28,active,1,1/1/21,
Payson,az32,active,4,1/1/21,
Bowie,az33,active,6,1/1/21,
Parker-2,az35,active,1,1/1/21,
Yuma South,az36,active,2,1/1/21,
San Simon,az37,active,6,1/1/21,
Sahuarita,az38,active,5,1/1/21,
Willcox Bench,az39,active,6,1/1/21,
Ft Mohave CA,az40,active,1,1/1/21,
Salome,az41,active,3,1/1/21,
Wellton ETo,az42,active,2,5/2/23,
Yuma Valley ETo,az43,active,2,5/2/23,
Mohave ETo,az44,active,1,7/20/23,
Chino Valley,az45,active,4,4/25/25,
Test,az99,active,5,8/17/21,
